time,06_pr_mm_month_aligned
1850-01-01,34.3952
1850-02-01,38.31739
1850-03-01,51.303795
1850-04-01,38.207905
1850-05-01,103.69112
1850-06-01,159.40814
1850-07-01,52.098038
1850-08-01,39.16091
1850-09-01,21.276674
1850-10-01,19.11259
1850-11-01,26.914497
1850-12-01,83.46325
1851-01-01,44.34893
1851-02-01,36.14423
1851-03-01,22.965881
1851-04-01,93.91278
1851-05-01,82.28698
1851-06-01,62.225822
1851-07-01,128.53302
1851-08-01,64.95193
1851-09-01,78.48961
1851-10-01,70.44411
1851-11-01,13.826122
1851-12-01,49.222744
1852-01-01,135.76813
1852-02-01,40.855656
1852-03-01,51.624077
1852-04-01,34.714226
1852-05-01,20.932327
1852-06-01,32.42884
1852-07-01,36.393093
1852-08-01,30.96888
1852-09-01,44.61644
1852-10-01,87.01995
1852-11-01,47.502827
1852-12-01,94.33653
1853-01-01,73.50482
1853-02-01,17.481283
1853-03-01,25.540462
1853-04-01,34.350594
1853-05-01,64.21323
1853-06-01,24.213985
1853-07-01,62.604008
1853-08-01,87.93116
1853-09-01,64.05925
1853-10-01,28.309093
1853-11-01,35.99927
1853-12-01,43.263443
1854-01-01,35.530666
1854-02-01,37.385857
1854-03-01,34.073895
1854-04-01,52.75718
1854-05-01,122.10861
1854-06-01,24.047682
1854-07-01,18.430904
1854-08-01,46.823853
1854-09-01,36.192863
1854-10-01,81.77619
1854-11-01,21.19233
1854-12-01,25.939365
1855-01-01,85.284515
1855-02-01,42.559906
1855-03-01,23.823013
1855-04-01,52.36844
1855-05-01,65.22111
1855-06-01,42.51408
1855-07-01,95.91214
1855-08-01,48.34781
1855-09-01,41.87351
1855-10-01,27.241976
1855-11-01,56.925636
1855-12-01,41.147797
1856-01-01,67.74798
1856-02-01,16.6271
1856-03-01,45.09825
1856-04-01,42.537956
1856-05-01,62.57642
1856-06-01,61.40094
1856-07-01,34.43665
1856-08-01,20.804058
1856-09-01,82.8985
1856-10-01,13.079147
1856-11-01,45.063244
1856-12-01,63.42293
1857-01-01,71.1617
1857-02-01,44.124855
1857-03-01,31.567535
1857-04-01,47.602074
1857-05-01,92.25015
1857-06-01,89.76382
1857-07-01,129.62039
1857-08-01,73.19362
1857-09-01,30.706825
1857-10-01,27.229116
1857-11-01,77.26721
1857-12-01,54.678467
1858-01-01,42.18238
1858-02-01,52.40812
1858-03-01,50.521873
1858-04-01,18.684694
1858-05-01,40.728226
1858-06-01,71.94392
1858-07-01,61.656586
1858-08-01,61.798313
1858-09-01,35.19954
1858-10-01,23.122175
1858-11-01,56.148094
1858-12-01,50.23739
1859-01-01,70.84645
1859-02-01,29.972658
1859-03-01,52.76655
1859-04-01,73.43539
1859-05-01,34.755257
1859-06-01,126.233154
1859-07-01,24.482328
1859-08-01,93.05437
1859-09-01,49.58747
1859-10-01,53.245567
1859-11-01,24.704948
1859-12-01,59.662178
1860-01-01,42.57841
1860-02-01,69.709694
1860-03-01,50.55331
1860-04-01,28.312983
1860-05-01,116.51159
1860-06-01,56.60854
1860-07-01,83.91835
1860-08-01,46.51348
1860-09-01,48.380802
1860-10-01,41.87113
1860-11-01,73.940834
1860-12-01,78.91757
1861-01-01,123.406006
1861-02-01,18.99664
1861-03-01,51.290783
1861-04-01,39.0288
1861-05-01,18.329832
1861-06-01,33.99158
1861-07-01,50.25533
1861-08-01,122.78911
1861-09-01,72.93219
1861-10-01,23.514193
1861-11-01,40.935333
1861-12-01,43.293198
1862-01-01,44.68857
1862-02-01,38.339306
1862-03-01,38.909046
1862-04-01,55.77189
1862-05-01,104.0434
1862-06-01,67.99431
1862-07-01,143.04645
1862-08-01,40.057167
1862-09-01,48.966156
1862-10-01,43.15413
1862-11-01,47.43799
1862-12-01,105.14256
1863-01-01,87.4213
1863-02-01,31.082863
1863-03-01,29.376204
1863-04-01,74.78331
1863-05-01,20.620382
1863-06-01,67.51195
1863-07-01,113.80916
1863-08-01,18.865868
1863-09-01,49.329716
1863-10-01,102.599
1863-11-01,34.452454
1863-12-01,69.31058
1864-01-01,15.362111
1864-02-01,66.79733
1864-03-01,31.497643
1864-04-01,67.02927
1864-05-01,75.36243
1864-06-01,111.979
1864-07-01,64.776505
1864-08-01,63.949802
1864-09-01,46.244576
1864-10-01,28.576515
1864-11-01,53.571503
1864-12-01,37.226463
1865-01-01,73.94736
1865-02-01,38.79905
1865-03-01,19.216032
1865-04-01,57.902515
1865-05-01,34.244705
1865-06-01,41.715233
1865-07-01,99.88214
1865-08-01,44.43474
1865-09-01,101.28887
1865-10-01,72.75376
1865-11-01,45.709297
1865-12-01,85.72037
1866-01-01,54.278828
1866-02-01,55.163807
1866-03-01,61.210052
1866-04-01,70.137726
1866-05-01,79.52007
1866-06-01,110.59338
1866-07-01,60.150726
1866-08-01,112.17815
1866-09-01,78.55056
1866-10-01,116.3302
1866-11-01,73.610306
1866-12-01,52.21612
1867-01-01,70.822105
1867-02-01,45.743507
1867-03-01,30.228977
1867-04-01,36.574085
1867-05-01,60.525978
1867-06-01,58.136032
1867-07-01,37.55353
1867-08-01,12.264962
1867-09-01,65.10458
1867-10-01,22.62145
1867-11-01,57.35683
1867-12-01,41.927826
1868-01-01,20.936022
1868-02-01,45.026127
1868-03-01,66.09683
1868-04-01,40.400925
1868-05-01,114.800125
1868-06-01,98.00814
1868-07-01,41.678806
1868-08-01,64.428764
1868-09-01,49.957397
1868-10-01,35.45788
1868-11-01,36.37558
1868-12-01,63.065643
1869-01-01,20.781307
1869-02-01,55.04278
1869-03-01,40.54849
1869-04-01,42.17443
1869-05-01,56.612343
1869-06-01,67.05349
1869-07-01,120.19889
1869-08-01,49.176647
1869-09-01,26.938095
1869-10-01,69.1862
1869-11-01,43.809258
1869-12-01,23.828451
1870-01-01,49.404335
1870-02-01,26.526836
1870-03-01,29.010387
1870-04-01,37.128418
1870-05-01,108.518974
1870-06-01,51.362434
1870-07-01,50.69025
1870-08-01,46.39291
1870-09-01,55.374485
1870-10-01,43.788727
1870-11-01,54.968994
1870-12-01,38.940037
1871-01-01,55.44376
1871-02-01,47.385845
1871-03-01,8.181341
1871-04-01,56.81072
1871-05-01,61.95565
1871-06-01,82.094864
1871-07-01,112.50333
1871-08-01,49.974384
1871-09-01,91.3918
1871-10-01,105.44299
1871-11-01,39.01374
1871-12-01,34.411797
1872-01-01,40.61004
1872-02-01,26.75428
1872-03-01,17.09998
1872-04-01,32.29221
1872-05-01,68.28664
1872-06-01,70.95412
1872-07-01,38.992798
1872-08-01,96.41307
1872-09-01,55.390285
1872-10-01,17.445143
1872-11-01,43.634434
1872-12-01,34.16572
1873-01-01,81.571266
1873-02-01,52.875423
1873-03-01,28.942692
1873-04-01,42.562126
1873-05-01,43.93958
1873-06-01,23.35785
1873-07-01,48.5521
1873-08-01,26.909288
1873-09-01,21.348663
1873-10-01,27.107195
1873-11-01,68.78427
1873-12-01,64.28599
1874-01-01,63.053905
1874-02-01,11.894095
1874-03-01,41.217968
1874-04-01,40.359848
1874-05-01,45.616165
1874-06-01,58.821945
1874-07-01,28.086422
1874-08-01,27.572533
1874-09-01,39.808487
1874-10-01,72.59852
1874-11-01,41.50833
1874-12-01,77.47003
1875-01-01,110.3931
1875-02-01,69.35282
1875-03-01,50.904026
1875-04-01,28.091934
1875-05-01,83.52428
1875-06-01,26.92035
1875-07-01,155.45837
1875-08-01,57.22896
1875-09-01,60.591526
1875-10-01,81.58681
1875-11-01,57.16408
1875-12-01,28.312904
1876-01-01,38.704193
1876-02-01,44.625946
1876-03-01,71.6784
1876-04-01,51.631645
1876-05-01,54.299767
1876-06-01,21.74556
1876-07-01,52.907932
1876-08-01,48.158558
1876-09-01,43.072323
1876-10-01,72.118866
1876-11-01,24.061329
1876-12-01,6.469242
1877-01-01,64.87635
1877-02-01,23.377998
1877-03-01,18.705776
1877-04-01,50.88446
1877-05-01,73.49589
1877-06-01,41.814987
1877-07-01,62.579987
1877-08-01,107.33718
1877-09-01,45.471867
1877-10-01,52.385513
1877-11-01,64.344765
1877-12-01,49.859917
1878-01-01,50.817978
1878-02-01,59.19381
1878-03-01,17.754904
1878-04-01,24.24282
1878-05-01,26.782614
1878-06-01,115.43797
1878-07-01,74.65818
1878-08-01,87.030594
1878-09-01,63.809277
1878-10-01,77.31304
1878-11-01,18.16391
1878-12-01,59.79472
1879-01-01,31.280954
1879-02-01,24.101664
1879-03-01,73.088615
1879-04-01,38.7434
1879-05-01,78.87764
1879-06-01,46.79637
1879-07-01,112.83431
1879-08-01,80.73533
1879-09-01,30.225895
1879-10-01,46.130947
1879-11-01,45.051918
1879-12-01,63.6131
1880-01-01,149.62985
1880-02-01,26.527838
1880-03-01,41.489655
1880-04-01,42.52243
1880-05-01,132.65771
1880-06-01,91.216324
1880-07-01,56.889984
1880-08-01,95.42269
1880-09-01,65.91259
1880-10-01,59.323357
1880-11-01,49.45635
1880-12-01,66.03254
1881-01-01,60.414925
1881-02-01,14.191925
1881-03-01,90.33012
1881-04-01,48.722908
1881-05-01,35.988327
1881-06-01,146.25555
1881-07-01,43.47431
1881-08-01,68.354034
1881-09-01,40.180347
1881-10-01,28.150711
1881-11-01,26.700603
1881-12-01,73.2025
1882-01-01,27.328873
1882-02-01,34.50296
1882-03-01,48.76349
1882-04-01,14.458078
1882-05-01,172.33115
1882-06-01,70.22323
1882-07-01,84.949814
1882-08-01,106.73296
1882-09-01,15.867762
1882-10-01,69.78998
1882-11-01,66.16904
1882-12-01,53.42965
1883-01-01,19.323277
1883-02-01,54.16899
1883-03-01,78.95049
1883-04-01,39.07014
1883-05-01,132.52994
1883-06-01,68.346016
1883-07-01,196.01958
1883-08-01,43.495476
1883-09-01,30.636524
1883-10-01,48.877525
1883-11-01,37.851105
1883-12-01,38.75287
1884-01-01,20.511734
1884-02-01,87.60809
1884-03-01,27.411798
1884-04-01,39.420616
1884-05-01,43.686462
1884-06-01,107.011345
1884-07-01,42.74363
1884-08-01,93.55921
1884-09-01,72.53421
1884-10-01,48.813835
1884-11-01,50.303707
1884-12-01,25.910763
1885-01-01,78.338806
1885-02-01,79.19697
1885-03-01,27.962751
1885-04-01,42.75553
1885-05-01,77.6069
1885-06-01,149.75436
1885-07-01,68.50484
1885-08-01,74.70125
1885-09-01,116.715
1885-10-01,29.174154
1885-11-01,59.96812
1885-12-01,22.417385
1886-01-01,27.282837
1886-02-01,23.677341
1886-03-01,21.938683
1886-04-01,32.63787
1886-05-01,34.47637
1886-06-01,60.244724
1886-07-01,51.486168
1886-08-01,55.032272
1886-09-01,106.572105
1886-10-01,28.38197
1886-11-01,56.271732
1886-12-01,31.304012
1887-01-01,65.2778
1887-02-01,5.937148
1887-03-01,84.48473
1887-04-01,27.229736
1887-05-01,41.514214
1887-06-01,52.857265
1887-07-01,42.00665
1887-08-01,41.82365
1887-09-01,64.76967
1887-10-01,48.05887
1887-11-01,26.08093
1887-12-01,38.82922
1888-01-01,3.769732
1888-02-01,75.88611
1888-03-01,12.530958
1888-04-01,43.974495
1888-05-01,46.871407
1888-06-01,67.0869
1888-07-01,59.08818
1888-08-01,61.452583
1888-09-01,92.546295
1888-10-01,28.688776
1888-11-01,20.751177
1888-12-01,57.85151
1889-01-01,20.42557
1889-02-01,50.44738
1889-03-01,20.573221
1889-04-01,44.94976
1889-05-01,54.970776
1889-06-01,62.0822
