time,03_pr_mm_month
1850-01-01,106.89259
1850-02-01,72.21188
1850-03-01,150.20976
1850-04-01,117.62362
1850-05-01,114.42669
1850-06-01,177.17773
1850-07-01,29.548126
1850-08-01,179.30295
1850-09-01,24.120312
1850-10-01,169.0325
1850-11-01,68.253944
1850-12-01,194.16176
1851-01-01,20.016735
1851-02-01,105.538445
1851-03-01,64.54322
1851-04-01,99.27197
1851-05-01,135.86472
1851-06-01,62.288742
1851-07-01,137.88135
1851-08-01,62.514103
1851-09-01,61.626366
1851-10-01,162.25867
1851-11-01,81.679214
1851-12-01,127.57031
1852-01-01,91.72897
1852-02-01,33.426395
1852-03-01,142.77423
1852-04-01,105.144104
1852-05-01,153.03072
1852-06-01,90.72058
1852-07-01,180.76999
1852-08-01,143.2661
1852-09-01,137.23732
1852-10-01,66.23239
1852-11-01,121.84183
1852-12-01,76.69954
1853-01-01,29.882324
1853-02-01,95.20105
1853-03-01,143.34392
1853-04-01,79.16167
1853-05-01,31.39866
1853-06-01,51.65187
1853-07-01,103.00768
1853-08-01,50.75538
1853-09-01,56.43171
1853-10-01,66.17419
1853-11-01,98.42211
1853-12-01,94.42481
1854-01-01,97.073425
1854-02-01,81.159615
1854-03-01,70.33344
1854-04-01,114.611755
1854-05-01,104.37126
1854-06-01,207.49817
1854-07-01,47.716698
1854-08-01,88.23603
1854-09-01,120.92049
1854-10-01,24.615074
1854-11-01,100.11966
1854-12-01,59.521835
1855-01-01,54.146698
1855-02-01,37.497684
1855-03-01,61.810947
1855-04-01,87.93199
1855-05-01,112.56207
1855-06-01,173.21613
1855-07-01,163.82156
1855-08-01,116.20784
1855-09-01,33.8531
1855-10-01,62.101982
1855-11-01,20.519
1855-12-01,49.650047
1856-01-01,178.94608
1856-02-01,83.98888
1856-03-01,113.24541
1856-04-01,102.116486
1856-05-01,199.19788
1856-06-01,93.39877
1856-07-01,51.13062
1856-08-01,258.27133
1856-09-01,67.784546
1856-10-01,90.52232
1856-11-01,48.574394
1856-12-01,51.797974
1857-01-01,141.01233
1857-02-01,22.968147
1857-03-01,83.69312
1857-04-01,112.22129
1857-05-01,99.17952
1857-06-01,41.95478
1857-07-01,152.9499
1857-08-01,127.5142
1857-09-01,65.70634
1857-10-01,106.19777
1857-11-01,165.87862
1857-12-01,42.022957
1858-01-01,57.731243
1858-02-01,100.691605
1858-03-01,112.29155
1858-04-01,162.59766
1858-05-01,175.97754
1858-06-01,231.21289
1858-07-01,102.6131
1858-08-01,54.24225
1858-09-01,23.043215
1858-10-01,83.88428
1858-11-01,71.98804
1858-12-01,58.075176
1859-01-01,62.145424
1859-02-01,107.72453
1859-03-01,43.914963
1859-04-01,46.543533
1859-05-01,136.017
1859-06-01,189.23451
1859-07-01,63.43185
1859-08-01,172.57196
1859-09-01,80.924774
1859-10-01,40.432972
1859-11-01,87.612686
1859-12-01,63.999252
1860-01-01,85.2865
1860-02-01,30.693985
1860-03-01,171.37643
1860-04-01,182.12404
1860-05-01,81.65623
1860-06-01,178.01987
1860-07-01,244.61632
1860-08-01,197.22266
1860-09-01,76.80592
1860-10-01,96.63284
1860-11-01,124.81079
1860-12-01,119.31608
1861-01-01,76.248825
1861-02-01,42.7175
1861-03-01,133.44891
1861-04-01,75.3553
1861-05-01,53.482044
1861-06-01,98.96271
1861-07-01,81.117935
1861-08-01,32.078106
1861-09-01,24.992973
1861-10-01,31.608196
1861-11-01,177.76033
1861-12-01,163.71669
1862-01-01,115.89664
1862-02-01,207.8554
1862-03-01,50.830627
1862-04-01,78.28626
1862-05-01,110.838684
1862-06-01,102.14748
1862-07-01,80.7808
1862-08-01,52.68883
1862-09-01,135.88893
1862-10-01,114.69664
1862-11-01,82.02908
1862-12-01,102.44236
1863-01-01,247.63562
1863-02-01,87.18565
1863-03-01,209.51767
1863-04-01,101.84677
1863-05-01,95.95988
1863-06-01,232.29523
1863-07-01,24.542439
1863-08-01,69.90693
1863-09-01,61.337578
1863-10-01,67.62248
1863-11-01,19.866684
1863-12-01,58.79703
1864-01-01,159.44925
1864-02-01,108.60803
1864-03-01,50.46199
1864-04-01,123.29803
1864-05-01,111.18438
1864-06-01,76.85831
1864-07-01,261.43536
1864-08-01,128.49873
1864-09-01,55.554214
1864-10-01,88.31996
1864-11-01,45.45626
1864-12-01,43.812637
1865-01-01,246.43611
1865-02-01,27.444584
1865-03-01,104.7779
1865-04-01,67.60063
1865-05-01,119.96698
1865-06-01,237.15823
1865-07-01,65.92072
1865-08-01,89.05624
1865-09-01,149.14696
1865-10-01,59.57766
1865-11-01,41.32956
1865-12-01,51.307724
1866-01-01,56.162262
1866-02-01,50.74619
1866-03-01,105.22429
1866-04-01,127.527695
1866-05-01,220.33353
1866-06-01,237.58487
1866-07-01,208.99437
1866-08-01,191.00629
1866-09-01,80.848114
1866-10-01,140.51285
1866-11-01,198.2258
1866-12-01,31.214714
1867-01-01,199.392
1867-02-01,47.014107
1867-03-01,147.55775
1867-04-01,172.35599
1867-05-01,35.68004
1867-06-01,196.66473
1867-07-01,149.0489
1867-08-01,127.59576
1867-09-01,68.51286
1867-10-01,94.63998
1867-11-01,44.388107
1867-12-01,167.71371
1868-01-01,49.005203
1868-02-01,120.336
1868-03-01,209.18547
1868-04-01,150.1384
1868-05-01,144.44632
1868-06-01,156.53127
1868-07-01,184.767
1868-08-01,83.92668
1868-09-01,51.506966
1868-10-01,36.803555
1868-11-01,148.7485
1868-12-01,142.00656
1869-01-01,102.924126
1869-02-01,61.824963
1869-03-01,121.9686
1869-04-01,77.59948
1869-05-01,182.901
1869-06-01,122.15642
1869-07-01,112.28727
1869-08-01,25.12643
1869-09-01,170.92523
1869-10-01,56.078606
1869-11-01,42.36385
1869-12-01,83.20862
1870-01-01,53.48441
1870-02-01,114.15992
1870-03-01,101.34654
1870-04-01,36.516308
1870-05-01,123.917076
1870-06-01,129.07423
1870-07-01,42.249916
1870-08-01,81.7133
1870-09-01,96.766174
1870-10-01,38.91776
1870-11-01,84.672844
1870-12-01,76.41628
1871-01-01,15.870686
1871-02-01,78.82826
1871-03-01,76.7435
1871-04-01,126.98161
1871-05-01,97.24974
1871-06-01,222.341
1871-07-01,141.99313
1871-08-01,169.76103
1871-09-01,28.169453
1871-10-01,45.730175
1871-11-01,145.44666
1871-12-01,97.03335
1872-01-01,35.800316
1872-02-01,254.27505
1872-03-01,79.825165
1872-04-01,111.30722
1872-05-01,121.749435
1872-06-01,109.36987
1872-07-01,100.861534
1872-08-01,110.689514
1872-09-01,26.873034
1872-10-01,181.19774
1872-11-01,33.80008
1872-12-01,144.64516
1873-01-01,41.3614
1873-02-01,139.88441
1873-03-01,63.5767
1873-04-01,53.557575
1873-05-01,106.9004
1873-06-01,116.470085
1873-07-01,84.47279
1873-08-01,69.0927
1873-09-01,202.458
1873-10-01,118.42276
1873-11-01,59.305504
1873-12-01,41.663235
1874-01-01,85.1976
1874-02-01,33.74958
1874-03-01,101.99585
1874-04-01,54.449455
1874-05-01,93.73049
1874-06-01,104.24893
1874-07-01,131.5199
1874-08-01,189.82076
1874-09-01,72.77333
1874-10-01,82.08913
1874-11-01,148.58195
1874-12-01,169.48804
1875-01-01,43.732277
1875-02-01,70.98148
1875-03-01,65.166916
1875-04-01,48.81073
1875-05-01,69.61857
1875-06-01,180.01486
1875-07-01,74.232285
1875-08-01,107.85679
1875-09-01,106.9384
1875-10-01,94.009346
